property_id,lat,lng,addr_street,suburb,lga,closet_train_station_id,distance_to_closest_train_station,travel_min_to_MC,direct_journey_flag,30_sep_cases,last_14_days_cases,last_30_days_cases,last_60_days_cases
10730,-37.789776,144.92268,6/8-32 Howlett Street,KENSINGTON, SOUTH GIPPSLAND ,20040,0.6171849671613808,10,1,2,0,0,0
89053,-37.95371,145.03687,9 Desmond Avenue,HIGHETT, GREATER DANDENONG ,19872,0.734207563718845,37,1,36,9,6,3
80732,-37.981735,145.22487,111 Herbert Street,DANDENONG, CARDINIA ,19888,1.6140308950649898,46,1,25,10,5,3
64028,-37.798325,145.27621,24A Starcross Avenue,CROYDON, CARDINIA ,19878,0.5019693524948846,42,1,25,10,5,3
7841,-37.77743,144.80313,32 Rockbank Road,ARDEER, SWAN HILL ,20004,1.898205883133193,23,1,1,0,0,0
42214,-37.73471,145.07268,40 Brassey Avenue,ROSANNA, EAST GIPPSLAND ,19983,1.0170478739593722,39,1,1,0,0,0
79954,-37.99416,145.18414,233 Cheltenham Road,KEYSBOROUGH, KINGSTON ,19889,1.887534999789691,42,1,13,4,2,1
2799,-37.820614,144.87775,1-3 Hawkhurst Street,YARRAVILLE, MITCHELL ,20023,2.1964623503215854,15,1,14,5,3,1
71121,-37.85577,145.22498,137 Harold Street,WANTIRNA, CENTRAL GOLDFIELDS ,19871,3.507238933931582,37,1,0,0,0,0
4896,-37.863846,144.81766,14 Akuna Street,ALTONA, BRIMBANK ,20022,8.218957323013479,17,1,77,34,21,12
59165,-37.80771,145.16801,92 Junction  Road,NUNAWADING, STONNINGTON ,19899,1.557580278725671,28,1,19,4,3,1
76273,-37.90758,145.09198,5 Wilson Street,OAKLEIGH, WANGARATTA ,19917,0.8648958915199575,26,1,0,0,0,0
84451,-37.849064,144.99828,93 York Street,PRAHRAN, BOROONDARA ,19947,0.6028493800537843,12,1,12,3,2,1
39719,-37.67881,145.05371,15 Botanica Boulevard,BUNDOORA, WODONGA ,20007,3.4781438828401914,46,1,3,0,0,0
21680,-37.751804,144.96368,1 Carron Street,COBURG, MOONEE VALLEY ,19966,0.3403864863770066,21,1,41,17,12,6
38364,-37.77962,145.01537,54 Rathmines Street,FAIRFIELD, NILLUMBIK ,19930,0.1444261589418898,26,1,4,1,1,1
11516,-37.774742,144.87875,52 Williamson Road,MAIDSTONE, BAW BAW ,20022,3.0618911606141865,17,1,3,0,0,0
97049,-38.0005,145.28387,8 Marnie Pl,HALLAM, GLEN EIRA ,19885,2.283012424729557,50,1,15,4,2,1
70607,-37.877975,145.09732,2 Nioka Street,CHADSTONE, MELTON ,19847,1.8879989809263462,28,1,87,28,19,10
80612,-37.97578,145.1984,1 Corvi Crt,DANDENONG, CARDINIA ,19889,0.6567301445423197,42,1,25,10,5,3
55306,-37.822044,145.06133,22 Canterbury Road,CAMBERWELL, MELBOURNE ,19853,0.5539549830398671,15,1,23,11,8,5
69282,-37.85199,145.03976,7 Parslow Street,MALVERN, BAW BAW ,19944,1.835168624142112,18,1,3,0,0,0
